PlayerName,SeperationQuality,TrueSpeed,RouteExecution,ScoredCount,TotalTargets,TotalYards,TotalEPA,CatchRate,ExplosivePlays,SuccessRate,YardsPerTarget,EPAPerTarget
A.J. Brown,100,74.9,63.9,100,137,1416,70.79294024,73%,20,0.583941606,10.33576642,0.51673679
Nico Collins,97,74.5,44.2,64,85,1156,74.8679176,75%,24,0.682352941,13.6,0.880799031
Terry McLaurin,92,53,58.1,65,110,923,8.684533691,59%,15,0.454545455,8.390909091,0.078950306
Stefon Diggs,91.5,44.4,54.1,80,120,1001,30.11797439,67%,10,0.55,8.341666667,0.25098312
Marquise Brown,83.9,100,32,46,81,527,1.685051463,57%,7,0.456790123,6.50617284,0.020803104
Puka Nacua,83.8,62.1,57.9,84,126,1349,75.57692701,67%,24,0.603174603,10.70634921,0.599816881
DeVonta Smith,82.5,64.9,55.1,64,88,998,39.7307762,73%,14,0.625,11.34090909,0.451486093
Ja'Marr Chase,81.9,51.4,54.8,62,97,1011,50.19321543,64%,14,0.597938144,10.42268041,0.517455829
Chris Godwin Jr.,76.8,41.2,54.7,72,104,975,60.96960802,69%,14,0.586538462,9.375,0.586246231
Romeo Doubs,75.6,21,59.1,52,83,648,25.07797177,63%,7,0.554216867,7.807228916,0.302144238
Keenan Allen,73.4,24.7,48.6,88,121,1170,68.03551477,73%,19,0.644628099,9.669421488,0.562276982
Jaylen Waddle,70.9,54.5,25.9,55,81,890,44.02106206,68%,11,0.641975309,10.98765432,0.543469902
Davante Adams,70.1,38.8,58.2,86,146,1038,9.836336224,59%,12,0.479452055,7.109589041,0.067372166
DK Metcalf,69.7,47.3,64.6,59,95,1018,38.14564792,62%,17,0.568421053,10.71578947,0.401533136
Jordan Addison,69.2,52.6,55.4,63,91,875,41.73302506,69%,14,0.527472527,9.615384615,0.458604671
CeeDee Lamb,68.7,57.7,44.1,118,157,1672,106.3499186,75%,31,0.630573248,10.64968153,0.677388017
DJ Moore,67.1,41,54.5,74,103,1250,76.52644985,72%,24,0.640776699,12.13592233,0.742975241
Drake London,63.4,9.4,100,60,94,847,10.19233218,64%,16,0.563829787,9.010638298,0.108429066
Calvin Ridley,62.9,40,62.7,65,112,932,35.96708962,58%,16,0.553571429,8.321428571,0.321134729
Amari Cooper,62.2,33.2,63.5,71,112,1231,51.98201086,63%,21,0.571428571,10.99107143,0.464125097
Brandon Aiyuk,60.9,50.6,29.5,73,98,1350,75.83837236,74%,29,0.714285714,13.7755102,0.773860942
Jakobi Meyers,60.4,47.1,34.1,57,89,754,18.79736408,64%,9,0.606741573,8.471910112,0.211206338
Adam Thielen,60.2,37.9,27.7,83,114,910,54.16896314,73%,9,0.605263158,7.98245614,0.475166343
Mike Evans,59.5,36.1,38,75,119,1212,60.41639014,63%,19,0.571428571,10.18487395,0.507700757
Michael Pittman,59.4,57.8,35.7,86,119,971,17.30104307,72%,9,0.571428571,8.159663866,0.145386917
Tyler Lockett,54.6,0,55.1,66,95,836,45.12277181,69%,11,0.663157895,8.8,0.474976545
Amon-Ra St. Brown,54,56.4,35,97,134,1382,63.48137827,72%,23,0.634328358,10.31343284,0.473741629
Chris Olave,47,73.6,51,71,115,985,30.79571614,62%,15,0.556521739,8.565217391,0.267788836
Garrett Wilson,46.9,30.8,40,75,133,942,-5.245259829,56%,11,0.473684211,7.082706767,-0.039438044
George Pickens,46.6,53.2,30.2,59,90,1103,38.2758832,66%,21,0.544444444,12.25555556,0.425287591
Justin Jefferson,42.5,46.6,33,59,86,1041,50.60637715,69%,25,0.639534884,12.10465116,0.588446246
Courtland Sutton,39.6,49.1,39.8,54,80,709,17.34650249,68%,14,0.525,8.8625,0.216831281
Tyreek Hill,33,62.5,0,88,129,1604,95.18633184,68%,28,0.612403101,12.43410853,0.737878541
DeAndre Hopkins,0,50.6,4.2,64,112,1002,22.69791341,57%,16,0.482142857,8.946428571,0.202659941
,,,,,,,,,,,,
Separation Quality:,How good the separation is under pressure?,,,,,,,,,,,
TrueSpeed:,How fast they get to the ball compared to league average?,,,,,,,,,,,
RouteExecution:,How well do they run their routes?,,,,,,,,,,,
CatchRate: ,Reliability.,,,,,,,,,,,
YardsPerTarget: ,Explosiveness/Efficiency.,,,,,,,,,,,
SuccessRate: ,Consistency (How often do they generate positive EPA?).,,,,,,,,,,,
ExplosivePlays: ,Game-changing ability (20+ yard gains).,,,,,,,,,,,
